X|Y|Z|Yaw|ImagePath|Classification|GridLabel|BooleanShow|Notes|Position|FlagColor
-4.989510035185048|-2.658816929541102|1.2363244310108708|0.0|images_2025_01_23_2/12325 run5/DJI_0752.JPG|negative|14080|1|This is a note.|1|#388E3C
-4.989510035185048|0.14342303860992|1.1920747771946474|0.0|images_2025_01_23_2/12325 run5/DJI_0753.JPG|negative|7040|1|This is a note.|2|#388E3C
-4.989510035185048|2.8182884627540776|1.2401214853016422|0.0|images_2025_01_23_2/12325 run5/DJI_0754.JPG|negative|320|1|This is a note.|3|#388E3C
-3.593128423370999|2.9456630067609426|1.2662634864536806|0.0|images_2025_01_23_2/12325 run5/DJI_0755.JPG|negative|20|1|This is a note.|4|#388E3C
-2.6854803756918666|2.9456630067609426|1.2922214284626528|0.0|images_2025_01_23_2/12325 run5/DJI_0756.JPG|horizontal|33|1|This is a note.|5|#D32F2F
-1.8476514086034368|2.9456630067609426|1.4154797807423154|0.0|images_2025_01_23_2/12325 run5/DJI_0757.JPG|horizontal|46|1|This is a note.|6|#D32F2F
-1.708013247422032|2.9456630067609426|1.224032641956|0.0|images_2025_01_23_2/12325 run5/DJI_0758.JPG|horizontal|46|1|This is a note.|6|#D32F2F
-0.8701842803336026|2.9456630067609426|1.2220270648685978|0.0|images_2025_01_23_2/12325 run5/DJI_0759.JPG|horizontal|68|1|This is a note.|7|#D32F2F
-0.3814507161986853|2.9456630067609426|1.243764282771735|0.0|images_2025_01_23_2/12325 run5/DJI_0760.JPG|diagonal|68|1|This is a note.|7|#D32F2F
0.0374637673455291|2.9456630067609426|1.0594028249470278|0.0|images_2025_01_23_2/12325 run5/DJI_0761.JPG|vertical|68|1|This is a note.|7|#D32F2F
0.0374637673455291|2.9456630067609426|1.447953225680975|0.0|images_2025_01_23_2/12325 run5/DJI_0762.JPG|diagonal|68|1|This is a note.|7|#D32F2F
0.0374637673455291|2.9456630067609426|1.844930173465399|0.0|images_2025_01_23_2/12325 run5/DJI_0763.JPG|vertical|68|1|This is a note.|7|#D32F2F
0.6658354926618522|2.9456630067609426|1.8337466731754817|0.0|images_2025_01_23_2/12325 run5/DJI_0764.JPG|vertical|81|1|This is a note.|8|#F57C00
1.3640262985688762|2.9456630067609426|1.845830561229376|0.0|images_2025_01_23_2/12325 run5/DJI_0765.JPG|diagonal|96|1|This is a note.|9|#D32F2F
1.2942072179781745|2.9456630067609426|1.3735657945362612|0.0|images_2025_01_23_2/12325 run5/DJI_0766.JPG|horizontal|96|1|This is a note.|9|#D32F2F
1.8527598627037936|2.9456630067609426|1.376751782008795|0.0|images_2025_01_23_2/12325 run5/DJI_0767.JPG|horizontal|96|1|This is a note.|9|#D32F2F
1.9225789432944964|2.9456630067609426|2.315465451785711|0.0|images_2025_01_23_2/12325 run5/DJI_0768.JPG|vertical|96|1|This is a note.|9|#D32F2F
2.132036185066603|2.9456630067609426|2.3273115173069514|0.0|images_2025_01_23_2/12325 run5/DJI_0769.JPG|vertical|96|1|This is a note.|9|#D32F2F
3.8775131998341648|2.9456630067609426|2.3285164848057307|0.0|images_2025_01_23_2/12325 run5/DJI_0770.JPG|vertical|127|1|This is a note.|10|#F57C00
5.413532972829619|2.9456630067609426|1.6857126966206115|0.0|images_2025_01_23_2/12325 run5/DJI_0771.JPG|negative|149|1|This is a note.|11|#F57C00
5.064437569876106|2.9456630067609426|2.0972604766575373|0.0|images_2025_01_23_2/12325 run5/DJI_0772.JPG|diagonal|149|1|This is a note.|11|#F57C00
4.924799408694702|2.9456630067609426|2.25759387166181|0.0|images_2025_01_23_2/12325 run5/DJI_0773.JPG|diagonal|149|1|This is a note.|11|#F57C00
6.111723778736643|2.1177284707163224|2.273448230334905|0.0|images_2025_01_23_2/12325 run5/DJI_0774.JPG|diagonal|2399|1|This is a note.|12|#D32F2F
6.111723778736643|2.0540411987128904|2.0384907737461604|0.0|images_2025_01_23_2/12325 run5/DJI_0775.JPG|horizontal|2399|1|This is a note.|12|#D32F2F
6.111723778736643|2.1814157427197545|1.7272465244022888|0.0|images_2025_01_23_2/12325 run5/DJI_0776.JPG|diagonal|2399|1|This is a note.|12|#D32F2F
