ImagePath,Timestamp
12325 run5/DJI_0752.JPG,2025-01-23 13:23:52
12325 run5/DJI_0753.JPG,2025-01-23 13:23:58
12325 run5/DJI_0754.JPG,2025-01-23 13:24:08
12325 run5/DJI_0755.JPG,2025-01-23 13:24:18
12325 run5/DJI_0756.JPG,2025-01-23 13:24:34
12325 run5/DJI_0757.JPG,2025-01-23 13:24:50
12325 run5/DJI_0758.JPG,2025-01-23 13:24:54
12325 run5/DJI_0759.JPG,2025-01-23 13:25:00
12325 run5/DJI_0760.JPG,2025-01-23 13:25:08
12325 run5/DJI_0761.JPG,2025-01-23 13:25:16
12325 run5/DJI_0762.JPG,2025-01-23 13:25:22
12325 run5/DJI_0763.JPG,2025-01-23 13:25:28
12325 run5/DJI_0764.JPG,2025-01-23 13:25:32
12325 run5/DJI_0765.JPG,2025-01-23 13:25:38
12325 run5/DJI_0766.JPG,2025-01-23 13:25:46
12325 run5/DJI_0767.JPG,2025-01-23 13:25:52
12325 run5/DJI_0768.JPG,2025-01-23 13:26:02
12325 run5/DJI_0769.JPG,2025-01-23 13:26:06
12325 run5/DJI_0770.JPG,2025-01-23 13:26:12
12325 run5/DJI_0771.JPG,2025-01-23 13:26:26
12325 run5/DJI_0772.JPG,2025-01-23 13:26:30
12325 run5/DJI_0773.JPG,2025-01-23 13:26:34
12325 run5/DJI_0774.JPG,2025-01-23 13:26:38
12325 run5/DJI_0775.JPG,2025-01-23 13:26:42
12325 run5/DJI_0776.JPG,2025-01-23 13:26:50
12325 run5/DJI_0777.JPG,2025-01-23 13:27:04
12325 run5/DJI_0778.JPG,2025-01-23 13:27:18
12325 run5/DJI_0779.JPG,2025-01-23 13:27:22
12325 run5/DJI_0780.JPG,2025-01-23 13:27:30
12325 run5/DJI_0781.JPG,2025-01-23 13:27:46
12325 run5/DJI_0782.JPG,2025-01-23 13:28:00
12325 run5/DJI_0783.JPG,2025-01-23 13:28:08
12325 run5/DJI_0784.JPG,2025-01-23 13:28:14
12325 run5/DJI_0785.JPG,2025-01-23 13:28:26
12325 run5/DJI_0786.JPG,2025-01-23 13:28:32
12325 run5/DJI_0787.JPG,2025-01-23 13:28:36
12325 run5/DJI_0788.JPG,2025-01-23 13:28:42
12325 run5/DJI_0789.JPG,2025-01-23 13:28:46
12325 run5/DJI_0790.JPG,2025-01-23 13:28:48
12325 run5/DJI_0791.JPG,2025-01-23 13:28:54
12325 run5/DJI_0792.JPG,2025-01-23 13:28:58
12325 run5/DJI_0793.JPG,2025-01-23 13:29:02
12325 run5/DJI_0794.JPG,2025-01-23 13:29:06
12325 run5/DJI_0795.JPG,2025-01-23 13:29:08
